Date/Time,999 [°C],
9/6/2025 2:41:31 P.M.,17.5,
9/6/2025 2:41:32 P.M.,17.5,
9/6/2025 2:41:33 P.M.,17.5,
9/6/2025 2:41:34 P.M.,17.5,
9/6/2025 2:41:35 P.M.,17.4,
9/6/2025 2:41:36 P.M.,17.5,
9/6/2025 2:41:37 P.M.,17.6,
9/6/2025 2:41:38 P.M.,17.8,
9/6/2025 2:41:39 P.M.,18.0,
9/6/2025 2:41:40 P.M.,18.2,
9/6/2025 2:41:41 P.M.,18.2,
9/6/2025 2:41:42 P.M.,18.2,
9/6/2025 2:41:43 P.M.,18.2,
9/6/2025 2:41:44 P.M.,18.2,
9/6/2025 2:41:45 P.M.,18.2,
9/6/2025 2:41:46 P.M.,18.2,
9/6/2025 2:41:47 P.M.,18.2,
9/6/2025 2:41:48 P.M.,18.2,
9/6/2025 2:41:49 P.M.,18.2,
9/6/2025 2:41:50 P.M.,18.3,
9/6/2025 2:41:51 P.M.,18.3,
9/6/2025 2:41:52 P.M.,18.4,
9/6/2025 2:41:53 P.M.,18.4,
9/6/2025 2:41:54 P.M.,18.4,
9/6/2025 2:41:55 P.M.,18.7,
9/6/2025 2:41:56 P.M.,18.9,
9/6/2025 2:41:57 P.M.,19.5,
9/6/2025 2:41:58 P.M.,20.0,
9/6/2025 2:41:59 P.M.,20.5,
9/6/2025 2:42:00 P.M.,20.9,
9/6/2025 2:42:01 P.M.,21.4,
9/6/2025 2:42:02 P.M.,21.6,
9/6/2025 2:42:03 P.M.,22.2,
9/6/2025 2:42:04 P.M.,22.7,
9/6/2025 2:42:05 P.M.,23.1,
9/6/2025 2:42:06 P.M.,23.5,
9/6/2025 2:42:07 P.M.,23.9,
9/6/2025 2:42:08 P.M.,24.2,
9/6/2025 2:42:09 P.M.,24.8,
9/6/2025 2:42:10 P.M.,25.2,
9/6/2025 2:42:11 P.M.,25.4,
9/6/2025 2:42:12 P.M.,26.1,
9/6/2025 2:42:13 P.M.,26.5,
9/6/2025 2:42:14 P.M.,26.9,
9/6/2025 2:42:15 P.M.,27.2,
9/6/2025 2:42:16 P.M.,27.7,
9/6/2025 2:42:17 P.M.,28.1,
9/6/2025 2:42:18 P.M.,28.6,
9/6/2025 2:42:19 P.M.,29.1,
9/6/2025 2:42:20 P.M.,29.6,
9/6/2025 2:42:21 P.M.,30.1,
9/6/2025 2:42:22 P.M.,30.7,
9/6/2025 2:42:23 P.M.,30.9,
9/6/2025 2:42:24 P.M.,31.8,
9/6/2025 2:42:25 P.M.,32.4,
