Fecha/Hora,999 [°C]
19/6/2025 11:12:46 A.M.,14.1
19/6/2025 11:12:47 A.M.,14.1
19/6/2025 11:12:48 A.M.,14.1
19/6/2025 11:12:49 A.M.,14.2
19/6/2025 11:12:50 A.M.,14.2
19/6/2025 11:12:51 A.M.,14.1
19/6/2025 11:12:52 A.M.,18.3
19/6/2025 11:12:53 A.M.,23.2
19/6/2025 11:12:54 A.M.,26.5
19/6/2025 11:12:55 A.M.,31.5
19/6/2025 11:12:56 A.M.,37.4
19/6/2025 11:12:57 A.M.,41.2
19/6/2025 11:12:58 A.M.,42.6
19/6/2025 11:12:59 A.M.,45.8
19/6/2025 11:13:00 A.M.,49.9
19/6/2025 11:13:01 A.M.,52.5
19/6/2025 11:13:02 A.M.,53.8
19/6/2025 11:13:03 A.M.,56.0
19/6/2025 11:13:04 A.M.,58.9
19/6/2025 11:13:05 A.M.,60.7
19/6/2025 11:13:06 A.M.,61.4
19/6/2025 11:13:07 A.M.,63.1
19/6/2025 11:13:08 A.M.,65.2
19/6/2025 11:13:09 A.M.,66.0
19/6/2025 11:13:10 A.M.,67.3
19/6/2025 11:13:11 A.M.,68.2
19/6/2025 11:13:12 A.M.,70.0
19/6/2025 11:13:13 A.M.,71.0
19/6/2025 11:13:14 A.M.,71.4
19/6/2025 11:13:15 A.M.,72.6
19/6/2025 11:13:16 A.M.,73.4
19/6/2025 11:13:17 A.M.,74.1
19/6/2025 11:13:18 A.M.,72.9
19/6/2025 11:13:19 A.M.,67.2
19/6/2025 11:13:20 A.M.,59.7
19/6/2025 11:13:21 A.M.,57.1
19/6/2025 11:13:22 A.M.,51.1
19/6/2025 11:13:23 A.M.,43.7
19/6/2025 11:13:24 A.M.,38.9
19/6/2025 11:13:25 A.M.,38.6
19/6/2025 11:13:26 A.M.,34.3
19/6/2025 11:13:27 A.M.,31.8
19/6/2025 11:13:28 A.M.,31.0
19/6/2025 11:13:29 A.M.,30.4
19/6/2025 11:13:30 A.M.,27.9
19/6/2025 11:13:31 A.M.,22.1
19/6/2025 11:13:32 A.M.,18.6
19/6/2025 11:13:33 A.M.,17.3
19/6/2025 11:13:34 A.M.,14.3
19/6/2025 11:13:35 A.M.,11.8
19/6/2025 11:13:36 A.M.,10.8
19/6/2025 11:13:37 A.M.,9.4
19/6/2025 11:13:38 A.M.,6.9
19/6/2025 11:13:39 A.M.,3.7
19/6/2025 11:13:40 A.M.,1.7
19/6/2025 11:13:41 A.M.,0.9
19/6/2025 11:13:42 A.M.,-1.5
19/6/2025 11:13:43 A.M.,-3.0
19/6/2025 11:13:44 A.M.,-4.5
19/6/2025 11:13:45 A.M.,-5.3
19/6/2025 11:13:46 A.M.,-6.3
19/6/2025 11:13:47 A.M.,-8.1
19/6/2025 11:13:48 A.M.,-8.6
19/6/2025 11:13:49 A.M.,-9.6
19/6/2025 11:13:50 A.M.,-10.4
19/6/2025 11:13:51 A.M.,-11.6
19/6/2025 11:13:52 A.M.,-12.1
19/6/2025 11:13:53 A.M.,-12.7
19/6/2025 11:13:54 A.M.,-13.7
19/6/2025 11:13:55 A.M.,-14.2
19/6/2025 11:13:56 A.M.,-14.5
19/6/2025 11:13:57 A.M.,-15.0
19/6/2025 11:13:58 A.M.,-15.7
19/6/2025 11:13:59 A.M.,-16.0
19/6/2025 11:14:00 A.M.,-16.3
19/6/2025 11:14:01 A.M.,-15.7
19/6/2025 11:14:02 A.M.,-12.1
19/6/2025 11:14:03 A.M.,-5.2
19/6/2025 11:14:04 A.M.,0.3
19/6/2025 11:14:05 A.M.,8.3
19/6/2025 11:14:06 A.M.,9.1
19/6/2025 11:14:07 A.M.,9.2
19/6/2025 11:14:08 A.M.,9.2
19/6/2025 11:14:09 A.M.,11.3
19/6/2025 11:14:10 A.M.,20.7
19/6/2025 11:14:11 A.M.,26.5
19/6/2025 11:14:12 A.M.,27.4
19/6/2025 11:14:13 A.M.,27.4
19/6/2025 11:14:14 A.M.,28.5
19/6/2025 11:14:15 A.M.,31.7
19/6/2025 11:14:16 A.M.,36.3
19/6/2025 11:14:17 A.M.,38.9
19/6/2025 11:14:18 A.M.,41.8
19/6/2025 11:14:19 A.M.,40.6
19/6/2025 11:14:20 A.M.,40.8
19/6/2025 11:14:21 A.M.,43.9
19/6/2025 11:14:22 A.M.,49.3
19/6/2025 11:14:23 A.M.,50.4
19/6/2025 11:14:24 A.M.,53.2
19/6/2025 11:14:25 A.M.,56.4
19/6/2025 11:14:26 A.M.,58.5
19/6/2025 11:14:27 A.M.,59.8
19/6/2025 11:14:28 A.M.,61.4
19/6/2025 11:14:29 A.M.,64.2
