Hora,999 [°C],
 17:31:39,18.4,
 17:31:40,18.4,
 17:31:41,18.4,
 17:31:42,18.4,
 17:31:43,18.4,
 17:31:44,18.5,
 17:31:45,18.4,
 17:31:46,18.4,
 17:31:47,18.4,
 17:31:48,18.4,
 17:31:49,18.4,
 17:31:50,18.4,
 17:31:51,18.4,
 17:31:52,18.5,
 17:31:53,18.4,
 17:31:54,18.4,
 17:31:55,18.4,
 17:31:56,18.4,
 17:31:57,18.4,
 17:31:58,18.4,
 17:31:59,18.4,
 17:32:00,18.4,
 17:32:01,18.4,
 17:32:02,18.4,
 17:32:03,18.4,
 17:32:04,18.5,
 17:32:05,18.5,
 17:32:06,18.4,
 17:32:07,18.4,
 17:32:08,18.5,
 17:32:09,18.5,
 17:32:10,20.2,
 17:32:11,23.4,
 17:32:12,26.5,
 17:32:13,29.2,
 17:32:14,31.7,
 17:32:15,33.8,
 17:32:16,35.3,
 17:32:17,37.1,
 17:32:18,38.6,
 17:32:19,40.1,
 17:32:20,41.3,
 17:32:21,42.5,
 17:32:22,43.5,
 17:32:23,44.2,
 17:32:24,45.1,
 17:32:25,45.9,
 17:32:26,46.5,
 17:32:27,47.1,
 17:32:28,47.7,
 17:32:29,48.2,
 17:32:30,48.6,
 17:32:31,49.0,
 17:32:32,49.4,
 17:32:33,49.6,
 17:32:34,50.0,
 17:32:35,50.3,
 17:32:36,50.5,
 17:32:37,50.7,
 17:32:38,51.0,
 17:32:39,51.1,
 17:32:40,51.3,
 17:32:41,51.5,
 17:32:42,51.6,
 17:32:43,51.7,
 17:32:44,51.9,
 17:32:45,52.0,
 17:32:46,52.1,
 17:32:47,52.2,
 17:32:48,52.2,
 17:32:49,52.3,
 17:32:50,52.4,
 17:32:51,52.4,
 17:32:52,52.5,
 17:32:53,52.5,
 17:32:54,52.6,
 17:32:55,52.7,
 17:32:56,52.7,
 17:32:57,52.7,
 17:32:58,52.7,
 17:32:59,52.8,
 17:33:00,52.8,
 17:33:01,52.8,
 17:33:02,52.9,
 17:33:03,52.9,
 17:33:04,52.9,
 17:33:05,52.9,
 17:33:06,53.0,
 17:33:07,53.0,
 17:33:08,53.0,
 17:33:09,53.0,
 17:33:10,53.0,
 17:33:11,53.0,
 17:33:12,53.1,
 17:33:13,53.1,
 17:33:14,53.1,
 17:33:15,53.1,
 17:33:16,53.1,
 17:33:17,53.7,
 17:33:18,53.2,
 17:33:19,53.3,
 17:33:20,53.0,
 17:33:21,50.4,
 17:33:22,48.0,
 17:33:23,45.8,
 17:33:24,44.0,
 17:33:25,42.2,
 17:33:26,40.1,
 17:33:27,35.0,
 17:33:28,30.8,
 17:33:29,27.1,
 17:33:30,23.8,
 17:33:31,20.8,
 17:33:32,18.3,
 17:33:33,16.5,
 17:33:34,14.3,
 17:33:35,12.5,
 17:33:36,10.8,
 17:33:37,9.3,
 17:33:38,8.0,
 17:33:39,6.7,
 17:33:40,5.8,
 17:33:41,4.9,
 17:33:42,3.8,
 17:33:43,3.0,
 17:33:44,2.2,
 17:33:45,1.5,
 17:33:46,0.9,
 17:33:47,0.4,
 17:33:48,-0.2,
 17:33:49,-0.7,
 17:33:50,-1.1,
 17:33:51,-1.5,
 17:33:52,-1.9,
 17:33:53,-2.2,
 17:33:54,-2.4,
 17:33:55,-2.5,
 17:33:56,-3.0,
 17:33:57,-3.2,
 17:33:58,-3.5,
 17:33:59,-3.7,
 17:34:00,-3.8,
 17:34:01,-4.0,
 17:34:02,-4.1,
 17:34:03,-4.2,
 17:34:04,-4.4,
 17:34:05,-4.5,
 17:34:06,-4.7,
 17:34:07,-4.6,
 17:34:08,-4.9,
 17:34:09,-5.0,
 17:34:10,-5.1,
 17:34:11,-5.3,
 17:34:12,-5.3,
 17:34:13,-5.4,
 17:34:14,-5.4,
 17:34:15,-5.5,
 17:34:16,-5.6,
 17:34:17,-5.5,
 17:34:18,-5.7,
 17:34:19,-5.7,
 17:34:20,-5.8,
 17:34:21,-5.8,
 17:34:22,-5.8,
 17:34:23,-5.9,
 17:34:24,-5.9,
 17:34:25,-5.9,
 17:34:26,-6.0,
 17:34:27,-6.0,
 17:34:28,-6.0,
 17:34:29,-6.0,
 17:34:30,-6.1,
 17:34:31,-6.1,
 17:34:32,-6.1,
 17:34:33,-6.2,
 17:34:34,-6.2,
 17:34:35,-6.2,
 17:34:36,-6.2,
 17:34:37,-6.2,
 17:34:38,-6.2,
 17:34:39,-6.2,
 17:34:40,-6.3,
 17:34:41,-6.3,
 17:34:42,-6.4,
 17:34:43,-6.4,
 17:34:44,-6.5,
 17:34:45,-6.6,
 17:34:46,-6.5,
 17:34:47,-6.5,
 17:34:48,-6.6,
 17:34:49,-6.7,
 17:34:50,-6.7,
 17:34:51,-6.7,
 17:34:52,-6.7,
 17:34:53,-6.8,
 17:34:54,-6.8,
 17:34:55,-6.5,
 17:34:56,-6.9,
 17:34:57,-6.8,
 17:34:58,-6.8,
 17:34:59,-6.8,
 17:35:00,-6.9,
 17:35:01,-5.1,
 17:35:02,-3.0,
 17:35:03,-1.0,
 17:35:04,0.5,
 17:35:05,1.8,
 17:35:06,3.2,
 17:35:07,4.5,
