Date/Time,999 [°C]
9/6/2025 2:23:43 P.M.,16.9
9/6/2025 2:23:44 P.M.,16.8
9/6/2025 2:23:45 P.M.,16.8
9/6/2025 2:23:46 P.M.,16.8
9/6/2025 2:23:47 P.M.,16.8
9/6/2025 2:23:48 P.M.,16.8
9/6/2025 2:23:49 P.M.,16.8
9/6/2025 2:23:50 P.M.,16.8
9/6/2025 2:23:51 P.M.,17.0
9/6/2025 2:23:52 P.M.,17.2
9/6/2025 2:23:53 P.M.,17.4
9/6/2025 2:23:54 P.M.,17.4
9/6/2025 2:23:55 P.M.,17.4
9/6/2025 2:23:56 P.M.,17.4
9/6/2025 2:23:57 P.M.,17.4
9/6/2025 2:23:58 P.M.,17.4
9/6/2025 2:23:59 P.M.,17.4
9/6/2025 2:24:00 P.M.,17.4
9/6/2025 2:24:01 P.M.,17.4
9/6/2025 2:24:02 P.M.,17.4
9/6/2025 2:24:03 P.M.,17.3
9/6/2025 2:24:04 P.M.,17.4
9/6/2025 2:24:05 P.M.,17.5
9/6/2025 2:24:06 P.M.,17.7
9/6/2025 2:24:07 P.M.,18.2
9/6/2025 2:24:08 P.M.,18.7
9/6/2025 2:24:09 P.M.,19.3
9/6/2025 2:24:10 P.M.,19.8
9/6/2025 2:24:11 P.M.,20.5
9/6/2025 2:24:12 P.M.,21.4
9/6/2025 2:24:13 P.M.,22.4
9/6/2025 2:24:14 P.M.,23.4
9/6/2025 2:24:15 P.M.,24.5
9/6/2025 2:24:16 P.M.,25.6
9/6/2025 2:24:17 P.M.,26.6
9/6/2025 2:24:18 P.M.,27.6
9/6/2025 2:24:19 P.M.,28.6
9/6/2025 2:24:20 P.M.,29.5
9/6/2025 2:24:21 P.M.,30.3
9/6/2025 2:24:22 P.M.,31.1
9/6/2025 2:24:23 P.M.,31.8
9/6/2025 2:24:24 P.M.,32.6
9/6/2025 2:24:25 P.M.,33.3
9/6/2025 2:24:26 P.M.,34.0
9/6/2025 2:24:27 P.M.,34.6
9/6/2025 2:24:28 P.M.,35.3
9/6/2025 2:24:29 P.M.,36.1
9/6/2025 2:24:30 P.M.,37.0
9/6/2025 2:24:31 P.M.,37.9
9/6/2025 2:24:32 P.M.,38.7
9/6/2025 2:24:33 P.M.,39.6
9/6/2025 2:24:34 P.M.,40.5
9/6/2025 2:24:35 P.M.,41.4
9/6/2025 2:24:36 P.M.,42.1
9/6/2025 2:24:37 P.M.,42.9
9/6/2025 2:24:38 P.M.,43.6
9/6/2025 2:24:39 P.M.,44.2
9/6/2025 2:24:40 P.M.,44.9
9/6/2025 2:24:41 P.M.,45.5
9/6/2025 2:24:42 P.M.,46.2
9/6/2025 2:24:43 P.M.,47.0
9/6/2025 2:24:44 P.M.,48.0
9/6/2025 2:24:45 P.M.,48.9
9/6/2025 2:24:46 P.M.,49.8
9/6/2025 2:24:47 P.M.,50.7
9/6/2025 2:24:48 P.M.,51.5
9/6/2025 2:24:49 P.M.,52.3
9/6/2025 2:24:50 P.M.,53.0
9/6/2025 2:24:51 P.M.,53.6
9/6/2025 2:24:52 P.M.,54.3
9/6/2025 2:24:53 P.M.,54.9
9/6/2025 2:24:54 P.M.,55.5
9/6/2025 2:24:55 P.M.,56.1
9/6/2025 2:24:56 P.M.,56.7
9/6/2025 2:24:57 P.M.,57.3
9/6/2025 2:24:58 P.M.,57.8
9/6/2025 2:24:59 P.M.,58.3
9/6/2025 2:25:00 P.M.,58.8
9/6/2025 2:25:01 P.M.,59.3
9/6/2025 2:25:02 P.M.,59.9
9/6/2025 2:25:03 P.M.,60.4
9/6/2025 2:25:04 P.M.,60.9
9/6/2025 2:25:05 P.M.,61.4
9/6/2025 2:25:06 P.M.,61.8
9/6/2025 2:25:07 P.M.,62.3
9/6/2025 2:25:08 P.M.,62.8
9/6/2025 2:25:09 P.M.,63.3
9/6/2025 2:25:10 P.M.,63.9
9/6/2025 2:25:11 P.M.,64.5
9/6/2025 2:25:12 P.M.,65.0
9/6/2025 2:25:13 P.M.,65.5
9/6/2025 2:25:14 P.M.,66.1
9/6/2025 2:25:15 P.M.,66.6
9/6/2025 2:25:16 P.M.,67.1
9/6/2025 2:25:17 P.M.,67.4
9/6/2025 2:25:18 P.M.,67.7
9/6/2025 2:25:19 P.M.,67.7
9/6/2025 2:25:20 P.M.,67.6
9/6/2025 2:25:21 P.M.,67.3
9/6/2025 2:25:22 P.M.,67.0
9/6/2025 2:25:23 P.M.,66.5
9/6/2025 2:25:24 P.M.,66.0
9/6/2025 2:25:25 P.M.,65.4
9/6/2025 2:25:26 P.M.,64.7
9/6/2025 2:25:27 P.M.,64.1
9/6/2025 2:25:28 P.M.,63.5
9/6/2025 2:25:29 P.M.,62.9
9/6/2025 2:25:30 P.M.,62.3
9/6/2025 2:25:31 P.M.,61.6
9/6/2025 2:25:32 P.M.,60.8
9/6/2025 2:25:33 P.M.,59.9
9/6/2025 2:25:34 P.M.,59.0
9/6/2025 2:25:35 P.M.,58.1
9/6/2025 2:25:36 P.M.,57.1
9/6/2025 2:25:37 P.M.,56.2
9/6/2025 2:25:38 P.M.,55.4
9/6/2025 2:25:39 P.M.,54.6
9/6/2025 2:25:40 P.M.,53.7
9/6/2025 2:25:41 P.M.,52.8
9/6/2025 2:25:42 P.M.,52.0
9/6/2025 2:25:43 P.M.,51.2
9/6/2025 2:25:44 P.M.,50.3
9/6/2025 2:25:45 P.M.,49.5
9/6/2025 2:25:46 P.M.,48.7
9/6/2025 2:25:47 P.M.,47.8
9/6/2025 2:25:48 P.M.,46.9
9/6/2025 2:25:49 P.M.,45.9
9/6/2025 2:25:50 P.M.,44.9
9/6/2025 2:25:51 P.M.,44.0
9/6/2025 2:25:52 P.M.,42.9
9/6/2025 2:25:53 P.M.,41.8
9/6/2025 2:25:54 P.M.,40.6
9/6/2025 2:25:55 P.M.,39.6
9/6/2025 2:25:56 P.M.,38.6
9/6/2025 2:25:57 P.M.,37.5
9/6/2025 2:25:58 P.M.,36.6
9/6/2025 2:25:59 P.M.,35.8
9/6/2025 2:26:00 P.M.,34.9
9/6/2025 2:26:01 P.M.,34.1
9/6/2025 2:26:02 P.M.,33.3
9/6/2025 2:26:03 P.M.,32.4
9/6/2025 2:26:04 P.M.,31.6
9/6/2025 2:26:05 P.M.,30.9
9/6/2025 2:26:06 P.M.,30.1
9/6/2025 2:26:07 P.M.,29.4
9/6/2025 2:26:08 P.M.,28.7
9/6/2025 2:26:09 P.M.,28.0
9/6/2025 2:26:10 P.M.,27.4
9/6/2025 2:26:11 P.M.,27.0
9/6/2025 2:26:12 P.M.,26.8
9/6/2025 2:26:13 P.M.,26.5
9/6/2025 2:26:14 P.M.,26.0
9/6/2025 2:26:15 P.M.,25.6
9/6/2025 2:26:16 P.M.,25.2
9/6/2025 2:26:17 P.M.,24.8
9/6/2025 2:26:18 P.M.,24.2
9/6/2025 2:26:19 P.M.,23.7
9/6/2025 2:26:20 P.M.,23.2
9/6/2025 2:26:21 P.M.,22.5
9/6/2025 2:26:22 P.M.,21.7
9/6/2025 2:26:23 P.M.,21.0
9/6/2025 2:26:24 P.M.,20.3
9/6/2025 2:26:25 P.M.,19.7
9/6/2025 2:26:26 P.M.,18.9
9/6/2025 2:26:27 P.M.,18.2
9/6/2025 2:26:28 P.M.,17.4
9/6/2025 2:26:29 P.M.,16.6
9/6/2025 2:26:30 P.M.,15.8
9/6/2025 2:26:31 P.M.,15.1
9/6/2025 2:26:32 P.M.,14.1
9/6/2025 2:26:33 P.M.,13.2
9/6/2025 2:26:34 P.M.,12.3
9/6/2025 2:26:35 P.M.,11.5
9/6/2025 2:26:36 P.M.,10.7
9/6/2025 2:26:37 P.M.,9.8
9/6/2025 2:26:38 P.M.,9.0
9/6/2025 2:26:39 P.M.,8.1
9/6/2025 2:26:40 P.M.,7.2
9/6/2025 2:26:41 P.M.,6.3
9/6/2025 2:26:42 P.M.,5.3
9/6/2025 2:26:43 P.M.,4.1
9/6/2025 2:26:44 P.M.,2.9
9/6/2025 2:26:45 P.M.,1.7
9/6/2025 2:26:46 P.M.,0.6
9/6/2025 2:26:47 P.M.,-0.4
9/6/2025 2:26:48 P.M.,-1.4
9/6/2025 2:26:49 P.M.,-2.3
