t,temp
0,16.4
1,16.4
2,16.2
3,16.1
4,16.2
5,16.1
6,16.1
7,16.1
8,16.1
9,19.4
10,19.0
11,21.9
12,21.5
13,24.1
14,26.4
15,26.0
16,25.2
17,24.6
18,26.5
19,32.0
20,31.2
21,33.0
22,32.0
23,30.9
24,29.9
25,31.3
26,36.2
27,38.1
28,36.5
29,35.4
30,34.2
31,35.0
32,39.6
33,40.9
34,42.5
35,40.6
36,39.4
37,39.5
38,43.7
39,45.5
40,46.1
41,44.1
42,44.6
43,47.6
44,46.9
45,46.4
46,47.3
47,48.9
48,49.4
49,51.8
50,50.5
51,49.6
52,52.7
53,55.3
54,53.8
55,53.2
56,55.9
57,57.0
58,55.4
59,54.4
60,55.9
61,58.4
62,60.5
63,62.5
64,60.9
65,58.1
66,59.1
67,61.4
68,63.4
69,65.1
70,66.7
71,67.9
72,68.4
73,65.1
74,65.6
75,67.3
76,68.7
77,68.7
78,66.0
79,63.0
80,60.4
81,56.8
82,53.7
83,51.7
84,53.9
85,56.3
86,56.5
87,55.8
88,51.3
89,49.5
90,47.7
91,50.1
92,52.3
93,50.1
94,48.1
95,46.3
96,44.6
97,42.9
98,41.5
99,40.4
100,41.8
101,40.4
102,42.5
103,42.9
104,41.2
105,39.7
106,38.7
107,37.4
108,36.2
109,35.1
110,34.0
111,33.0
112,32.1
113,31.4
114,30.9
115,32.7
116,31.7
117,30.2
118,28.2
119,27.7
120,27.3
121,26.7
122,26.2
123,25.6
124,25.1
125,24.6
126,24.2
127,23.8
128,21.7
129,21.6
130,21.4
131,20.7
132,18.7
133,17.6
134,17.7
135,17.8
136,17.8
137,15.9
138,15.9
139,14.3
140,13.5
141,13.8
142,14.1
143,12.4
144,11.4
145,11.7
146,8.9
147,8.1
148,9.0
149,9.6
150,8.4
151,7.2
152,4.8
153,4.6
154,5.4
155,3.3
156,4.3
157,3.6
158,3.1
159,2.5
160,1.7
161,-0.3
162,-1.6
163,-3.1
164,-1.6
165,-0.1
166,-0.6
167,-1.1
168,-2.9
169,-4.1
170,-5.5
171,-6.7
172,-7.7
173,-8.7
174,-8.1
175,-9.2
176,-10.0
177,-10.7
178,-10.1
179,-11.1
180,-11.8
181,-12.5
182,-13.0
183,-13.5
184,-14.0
185,-14.5
186,-14.9
187,-15.3
188,-15.6
189,-16.0
190,-16.2
191,-16.5
192,-16.7
193,-17.0
194,-17.2
195,-17.4
196,-17.6
197,-17.7
198,-17.9
199,-18.0
200,-18.2
201,-18.3
202,-18.4
203,-18.5
204,-18.5
205,-18.7
206,-18.7
207,-18.7
208,-18.9
209,-19.0
210,-17.8
211,-15.9
212,-15.1
213,-12.7
214,-10.8
215,-9.0
216,-8.7
217,-10.1
218,-10.2
219,-8.1
220,-6.4
221,-6.4
222,-6.3
223,-4.6
224,-3.3
225,-2.2
226,-2.7
227,-1.3
228,0.0
229,1.0
230,0.3
231,-1.4
232,-0.6
233,0.7
234,1.8
235,2.8
236,5.5
237,7.9
238,8.3
239,8.7
240,8.4
241,7.9
242,8.6
243,10.7
244,12.9
245,13.0
246,11.2
247,11.8
248,12.1
249,13.6
250,15.9
251,15.8
252,15.7
253,15.8
254,15.8
255,19.1
256,18.9
257,18.6
258,19.8
259,24.6
260,24.0
261,23.3
262,22.8
263,22.3
264,25.1
265,25.7
266,26.9
267,26.2
268,25.4
269,25.4
270,30.4
271,32.3
272,31.1
273,30.1
274,29.4
275,28.8
276,34.1
277,35.4
278,33.9
279,32.8
280,35.7
281,39.3
282,37.8
283,39.2
284,37.8
285,37.0
286,41.5
287,44.6
288,43.0
289,41.3
290,39.7
291,38.6
292,43.0
293,46.8
294,46.9
295,45.2
296,43.4
297,44.6
298,48.4
299,51.6
300,51.5
301,49.2
302,47.6
303,50.8
304,53.8
305,54.0
306,51.6
307,52.1
308,53.0
309,55.3
310,57.8
311,60.1
312,59.9
313,57.6
314,57.6
315,60.1
316,60.1
317,59.4
318,61.8
319,63.9
320,65.6
321,65.2
322,66.8
323,64.3
324,65.6
325,67.4
326,64.7
327,66.4
328,68.1
329,69.4
330,66.9
331,63.9
332,61.2
333,58.7
334,56.3
335,54.2
336,57.1
337,57.8
338,55.2
339,53.0
340,50.9
341,49.0
342,49.6
343,50.8
344,51.6
345,49.5
346,47.6
347,45.8
348,44.1
349,45.0
350,46.3
351,45.2
352,43.4
353,41.9
354,40.4
355,39.1
356,37.9
357,36.7
358,40.2
359,40.1
360,38.7
361,35.4
362,34.6
363,33.6
364,32.7
365,32.0
366,34.2
367,33.1
368,32.1
369,31.3
370,30.4
371,29.7
372,29.1
373,28.4
374,26.5
375,25.5
376,25.1
377,24.7
378,24.3
379,24.0
380,23.7
381,23.3
382,21.1
383,21.1
384,21.0
385,19.3
386,19.0
387,19.0
388,19.0
389,17.9
390,14.4
391,11.5
392,12.0
393,12.4
394,12.9
395,13.2
396,13.5
397,13.8
398,11.1
399,9.6
400,8.0
401,7.9
402,8.8
403,9.5
404,9.0
405,6.2
406,3.9
407,2.8
408,4.2
409,4.6
410,2.1
411,1.8
412,1.4
413,2.0
414,1.2
415,0.4
416,-1.4
417,-0.7
418,-1.7
419,-3.4
420,-4.7
421,-5.7
422,-6.5
423,-4.5
424,-5.1
425,-5.8
426,-6.2
427,-7.5
428,-8.3
429,-9.3
430,-10.1
431,-10.8
432,-11.5
433,-12.1
434,-12.7
435,-13.1
436,-13.7
437,-14.1
438,-14.5
439,-14.9
440,-15.2
441,-15.5
442,-15.8
443,-16.1
444,-16.3
445,-16.5
446,-16.7
447,-17.0
448,-17.2
449,-17.3
450,-17.4
451,-17.6
452,-17.7
453,-17.9
454,-18.0
455,-18.0
456,-18.1
457,-18.2
458,-18.3
459,-18.5
460,-18.5
461,-18.6
462,-18.7
463,-18.7
464,-17.3
465,-14.9
466,-12.7
467,-10.7
468,-8.9
469,-7.7
470,-9.0
471,-8.8
472,-9.8
473,-7.8
474,-6.2
475,-6.0
476,-4.4
477,-3.2
478,-1.9
479,-3.9
480,-2.3
481,-1.0
482,0.2
483,1.3
484,2.1
485,1.4
486,2.6
487,3.5
488,4.4
489,5.2
490,5.9
491,6.4
492,7.1
493,7.7
494,8.2
495,8.7
496,9.2
497,9.7
498,10.1
499,10.5
500,10.9
501,14.6
502,17.4
503,21.0
504,18.5
505,15.6
506,13.7
507,14.2
508,14.5
509,20.6
510,26.6
511,24.2
512,20.8
513,20.2
514,22.2
515,23.0
516,24.9
517,30.6
518,30.0
519,28.0
520,25.3
521,24.4
522,29.1
523,29.3
524,31.4
525,30.3
526,29.5
527,30.3
528,33.8
529,35.4
530,34.1
531,33.0
532,34.8
533,37.9
534,38.7
535,36.6
536,35.3
537,38.9
538,41.2
539,39.5
540,39.3
541,42.5
542,43.5
543,41.7
544,41.8
545,43.1
546,47.0
547,48.9
548,46.7
549,45.9
550,45.7
551,46.6
552,49.0
553,52.1
554,51.2
555,49.0
556,49.7
557,51.4
558,54.4
559,53.3
560,53.5
561,52.3
562,55.3
563,55.4
564,58.0
565,60.4
566,61.3
567,58.5
568,58.9
569,58.9
570,59.6
571,61.9
572,61.6
573,63.7
574,65.6
575,64.6
576,64.1
577,65.5
578,65.6
579,67.4
580,68.0
581,66.0
582,67.4
583,68.7
584,65.5
585,62.7
586,59.2
587,55.7
588,53.7
589,52.2
590,53.2
591,53.4
592,51.8
593,55.2
594,54.6
595,52.3
596,48.6
597,47.0
598,45.5
599,47.2
600,50.3
601,48.3
602,46.4
603,45.0
604,43.4
605,42.0
606,40.6
607,39.3
608,41.0
609,39.5
610,38.5
611,37.2
612,39.0
613,37.8
614,36.5
615,35.4
616,34.4
617,33.6
618,32.7
619,31.8
620,31.0
621,30.3
622,29.5
623,28.9
624,28.4
625,27.8
626,27.2
627,26.6
628,26.1
629,25.6
630,25.2
631,24.8
632,24.4
633,22.2
634,22.1
635,22.0
636,21.5
637,17.9
638,18.3
639,18.5
640,16.8
641,17.0
642,17.2
643,17.1
644,15.5
645,14.3
646,14.7
647,15.0
648,13.5
649,12.2
650,11.0
651,11.6
652,9.2
653,6.6
654,7.6
655,8.5
656,9.1
657,8.0
658,5.5
659,6.4
660,4.5
661,2.3
662,0.4
663,1.9
664,3.2
665,4.2
666,3.8
667,1.4
668,-0.4
669,-2.0
670,-2.0
671,-1.9
672,-3.4
673,-4.5
674,-4.7
675,-4.1
676,-5.6
677,-6.8
678,-6.5
679,-7.5
680,-8.3
681,-9.2
682,-10.0
683,-9.6
684,-10.1
685,-10.9
686,-11.6
687,-12.1
688,-12.7
689,-13.1
690,-13.6
691,-14.0
692,-14.4
693,-14.8
694,-15.0
695,-15.4
696,-15.6
697,-15.9
698,-16.1
699,-16.4
700,-16.6
701,-16.7
702,-16.9
703,-17.0
704,-17.2
705,-17.3
706,-17.5
707,-17.5
708,-17.6
709,-17.7
710,-17.8
711,-18.0
712,-18.0
713,-18.1
714,-18.1
715,-18.2
716,-18.3
717,-16.3
718,-13.9
719,-11.7
720,-9.8
721,-10.7
722,-11.5
723,-10.2
724,-8.3
725,-6.5
726,-4.9
727,-6.0
728,-6.0
729,-6.7
730,-4.8
731,-3.2
732,-0.6
733,2.9
734,1.1
735,-1.0
736,-2.1
737,-0.3
738,0.9
739,2.1
740,3.1
741,4.0
742,4.8
743,5.5
744,6.2
745,6.9
746,7.5
747,8.1
748,8.7
749,9.2
750,9.8
751,16.8
752,16.6
753,16.0
754,15.9
755,15.9
756,16.0
757,16.0
758,16.1
759,16.2
760,16.2
761,16.2
762,16.3
763,16.4
764,16.4
765,16.4
766,16.4
767,16.5
768,16.5
769,16.6
770,16.6
771,16.6
772,16.7
773,16.8
774,16.7
775,16.8
776,16.8
777,16.8
778,16.8
779,16.8
780,16.9
781,16.9
