t,L,a,b
0.0,314.72077496529346,198.2670382962105,220.83040211422258
0.04,314.69189967072265,198.1440554876434,220.89231481159504
0.08,314.5931378711726,198.15007128546551,220.8985740232019
0.12,314.5996913192225,198.1458235811785,220.90701325936408
0.16,314.680167661275,198.1614823097026,220.88022971841573
0.2,314.64500640632986,198.14880071900689,220.88822759991334
0.24,314.6826044739989,198.1556430537463,220.8862294669773
0.28,314.6659560410754,198.21110394838558,220.82232131154558
0.32,314.667718784857,198.21496914529664,220.82963977434738
0.36,314.65153310561215,198.20340297820778,220.83439838009463
0.4,314.69973973449174,198.22841040099078,220.81753328215402
0.44,314.66520172583046,198.22837562759295,220.81847751364856
0.48,314.7239741178925,198.22167506132155,220.81303681432877
0.52,314.7067746603575,198.18951501809553,220.82631222766412
0.56,314.6059264569385,198.18089121543724,220.84730733531453
0.6,314.6489866229413,198.20943215041368,220.8430114832459
0.64,314.67735369092867,198.22153329285354,220.82536532129282
0.68,314.6708403660301,198.2185722042857,220.8337403604129
0.72,314.7165192363762,198.2412337601545,220.81570634133033
0.76,314.7595767275023,198.22049811554933,220.83412821754237
0.8,314.7261942655992,198.21731768708756,220.8437497492303
0.84,314.72778314239173,198.2156619383762,220.84791185746116
0.88,314.8150697206626,198.2251657754869,220.83304756733332
0.92,314.8304074639761,198.23724551891272,220.82986446399482
0.96,314.84556599054696,198.18361691485066,220.88947409248118
1.0,314.80240417922744,198.18878210186466,220.89401335833452
1.04,314.75378829420436,198.19228084066026,220.8938528657292
1.08,314.8489523845189,198.23924365184874,220.8728684575858
1.12,314.88711752605997,198.24526479942438,220.8412567640946
1.16,314.8433886408684,198.2155308694152,220.86565431497743
1.2,314.86624813761705,198.22615815476303,220.85357189667485
1.24,314.9739092521312,198.22399417946818,220.85620932515533
1.28,314.94221731233733,198.21947898750565,220.86220907371694
1.32,314.93161677575705,198.22680012518424,220.85381531045957
1.36,314.9651918287865,198.23035771126845,220.84863407418504
1.4000000000000001,314.9421477655417,198.21580905659772,220.86105352695876
1.44,314.96739592723264,198.23455726777388,220.84676701021002
1.48,314.8650497928308,198.19557896369923,220.87601411264976
1.52,314.85683257143927,198.19617546121563,220.87548983680577
1.56,314.8664915514018,198.2093064312062,220.86209672889322
1.6,314.9204491653047,198.2144368448224,220.85872905905862
1.6400000000000001,314.88844693980724,198.2080251652405,220.86205928061864
1.68,314.90463529392883,198.20812146080368,220.8629312904408
1.72,314.9956907735476,198.22787542563975,220.84572113339877
1.76,314.9766001781468,198.1991231753997,220.86044632993534
1.8,314.973922626515,198.21509753938088,220.8490406554518
1.84,314.95248616419997,198.20142891916254,220.85177437949545
1.8800000000000001,314.9322212979037,198.21548004675685,220.8541576946842
1.92,314.91859547571346,198.19097282592705,220.87834125542665
1.96,314.947735583083,198.20197191914383,220.87888960516145
2.0,314.81444914925544,198.1937600475058,220.8866173241068
2.04,314.81024424299653,198.19386436769926,220.8847957330366
2.08,314.8704236202317,198.1990696778646,220.88197641293678
2.12,314.86752137895246,198.19175388993952,220.88984055059663
2.16,314.8676283740227,198.19771619022654,220.8897228560194
2.2,314.85604883255,198.21263130301273,220.87616123087128
2.24,314.8358882864472,198.21012761837,220.88204863460916
2.2800000000000002,314.8359177100915,198.21570741128102,220.87799619632526
2.32,314.83361464120543,198.2249624848535,220.8642339554205
2.36,314.8353586608497,198.21181279072567,220.87615588111777
2.4,314.93931774593483,198.22194789875056,220.85846959601335
2.44,314.7584024566068,198.21234509119992,220.90116865365428
2.48,314.6539190956777,198.20270751025146,220.90512479637502
2.52,314.6929375229036,198.20962474154004,220.90530133824083
2.56,314.7392396395336,198.2597171585319,220.8472431382724
2.6,314.6951362715963,198.25051558249453,220.86195228554845
2.64,314.7167920738052,198.25213388293133,220.83818065582628
2.68,314.68588387290055,198.25696738522774,220.8625193594205
2.72,314.67618476978674,198.24301255319662,220.88225192524254
2.7600000000000002,314.693916527796,198.25755050836034,220.86664401937682
2.8000000000000003,314.66522847459805,198.2336344352934,220.88077004352024
2.84,314.6568882088758,198.21719731763358,220.8980256734671
2.88,314.6549890463797,198.21978392345574,220.91898868259645
