t,L,a,b
0.0,136.85454485946582,153.44035263019074,159.51841220151286
0.04,136.84866319735238,153.44931855505564,159.5109884080237
0.08,136.8110802428135,153.4703154149604,159.50258658364956
0.12,136.77933466946214,153.45149794671272,159.55263173094139
0.16,136.78464838056954,153.44076463532733,159.55643989056836
0.2,136.8955489968445,153.462444961697,159.538161494462
0.24,137.02016514860102,153.4741524534521,159.56010750638706
0.28,137.05035703903076,153.48549992202706,159.56403888250344
0.32,136.97812714786556,153.47484169568992,159.5381576439467
0.36,137.05661412638545,153.47407929366148,159.54575856113945
0.4,137.08846751416507,153.47947771610535,159.55819957605826
0.44,137.0752198162919,153.50081919712906,159.55020590630542
0.48,137.13380733176618,153.49437728504017,159.571859279068
0.52,137.1966034604581,153.48367670303477,159.54836728525194
0.56,137.05737075264096,153.4855210998612,159.55563513287166
0.6,137.11201919096823,153.4982046972436,159.54391031379774
0.64,137.14425377976207,153.52032398235693,159.55574487255757
0.68,137.128842092293,153.50139677442334,159.57527468613486
0.72,137.0894147409277,153.50193969707996,159.55755268948866
0.76,137.1418318056414,153.51176236159804,159.5690310755837
0.8,137.17266288161014,153.52582059294085,159.57154931258677
0.84,137.2612343596882,153.52105943077834,159.58169927090492
0.88,137.17862540454476,153.5023979084001,159.5734880470379
0.92,137.1778456751975,153.4915914372241,159.58714582479
0.96,137.19994570773434,153.5099083384834,159.57855725042404
1.0,137.24766129327259,153.5022246352118,159.57754263964375
1.04,137.15663511169382,153.51796554173862,159.58114672196007
1.08,137.20798173315544,153.5111135497708,159.59079033751692
1.12,137.14986205528956,153.49985656830526,159.60114052263043
1.16,137.16718359834505,153.49120060992163,159.6198675037687
1.2,137.18379279607095,153.52026429936987,159.58613698978266
1.24,137.22210734851592,153.51114435389317,159.59205330653376
1.28,137.17024090748944,153.4867551900133,159.6233502948532
1.32,137.18825361804042,153.49622360712422,159.5980293062719
1.36,137.27559678173932,153.54427418749313,159.56666685919242
1.4000000000000001,137.26045463034092,153.52929375773712,159.59495659506632
1.44,137.24784419274908,153.5328843632499,159.5754903149914
1.48,137.17979211067922,153.51654855210998,159.6135468829116
1.52,137.14929217902585,153.52463463422993,159.60842377231134
1.56,137.1588222043815,153.54301506899162,159.59959454073942
1.6,137.30406171605915,153.49880537762965,159.63414521448334
1.6400000000000001,137.23007213940406,153.48260818504036,159.6364574489181
1.68,137.28909476310668,153.5018607615164,159.63037556000933
