t,L,a,b
0.0,142.5246261551386,207.9844973396808,83.65144777373285
0.04,142.5212377485298,207.9593335200224,83.67009241108933
0.08,142.54630075609074,207.97674600952115,83.65621954634557
0.12,142.46751610193223,208.01106692803137,83.64418930271633
0.16,142.44724166900028,207.9877009241109,83.66678241388966
0.2,142.49284234108092,208.01049005880705,83.65635956314757
0.24,142.14630075609074,207.9056118734248,84.01625315037805
0.28,142.12807056846822,207.89697563707645,84.02377485298236
0.32,142.1292915149818,207.91388406608792,84.01729487538505
0.36,142.19430411649398,207.9499803976477,83.96632875945113
0.4,142.16574628955473,207.9246373564828,83.98948193783254
0.44,142.19364883786054,207.94985718286196,83.95925511061327
0.48,142.1929095491459,207.9642565107813,83.96974516942034
0.52,142.18907308877064,207.95443293195183,83.97582749929991
0.56,142.18765051806216,207.97879025483056,83.9564099691963
0.6,142.18763931671802,208.0066311957435,83.97829179501541
0.64,142.15356482777932,207.9732007840941,84.01900868104173
0.68,141.8918622234668,208.0291178941473,84.29167180061607
0.72,141.84391486978438,208.0183478017362,84.30967236068328
0.76,141.82071688602633,208.007152058247,84.31383926071129
0.8,141.8293531223747,208.0127919350322,84.3108821058527
0.84,141.89983758050963,208.07073088770653,84.25101092131055
0.88,141.87828619434333,208.0395407448894,84.29346401568188
0.92,141.89126295155418,208.0650798095772,84.27321758611033
0.96,141.82566788014563,208.1248333800056,84.20364043685242
1.0,141.80105292635116,208.11070288434613,84.21755250630076
1.04,141.8206328759451,208.12262111453376,84.2064855782694
1.08,141.81338000560066,208.148193783254,84.21291514981797
1.12,141.78019042285075,208.13548585830296,84.2279585550266
1.16,141.77409689162698,208.1649845981518,84.21372164659759
1.2,141.58682161859423,208.0599663959675,84.5834164099692
1.24,141.55871184542144,208.032567908149,84.60346121534585
1.28,141.5721310557267,208.04763371604597,84.59590030803696
1.32,141.58295715485858,208.1204368524223,84.5337776533184
1.36,141.55870624474937,208.0960627275273,84.55283113973677
1.4,141.5734808176981,208.1163315597872,84.53215905908709
1.44,141.62606552786335,208.1484850182022,84.50188742649118
1.48,141.5999159899188,208.1411033323999,84.51059087090451
1.52,141.62585830299636,208.1517558106973,84.50585830299636
1.56,141.61411929431532,208.1791374964996,84.51098851862224
1.6,141.57812377485297,208.1569812377485,84.53772052646318
1.64,141.190070008401,208.1123942873145,84.80394287314478
1.68,141.17598431811817,208.1098963875665,84.80712405488659
1.72,141.13440492859144,208.0992775133016,84.81952394287315
1.76,141.17949593951275,208.10682161859424,84.81446093531224
1.8,141.2558891066928,208.1341865023803,84.79550826099131
1.84,141.2195631475777,208.12563427611315,84.80532063847662
1.88,141.22356202744328,208.14506860823295,84.78337160459255
1.92,141.23913749649958,208.19431531783812,84.7452982357883
1.96,141.22104732567908,208.164581349762,84.77307196863623
2.0,141.24192663119575,208.17573228787452,84.76145617474097
2.04,141.23215905908708,208.20532063847665,84.75371044525343
2.08,141.1706524782974,208.19159899187903,84.78063287594512
2.12,141.15792775133016,208.22218426211143,84.75704284514141
2.16,140.75485298235787,208.42215625875104,84.83617474096891
2.2,140.72200504060487,208.41517782133857,84.84670400448054
2.24,140.73040604872585,208.42580789694765,84.83909269112293
2.28,140.73418650238028,208.46790814897787,84.80601512181462
2.32,140.71694763371605,208.4502436292355,84.82278913469617
2.36,140.69346401568188,208.48094651358164,84.79202464295716
2.4,140.7313469616354,208.48444133296,84.7930271632596
2.44,140.75809577149258,208.4597703724447,84.81289834780173
2.48,140.75168860263233,208.4716381965836,84.8005208625035
2.52,140.69098851862225,208.53552506300755,84.7446597591711
2.56,140.6835060207225,208.5224698963876,84.75178941472977
2.6,140.64565107812936,208.41681881825815,84.83623074768973
2.64,140.60548865863905,208.392775133016,84.85546345561467
2.68,140.61882385886307,208.3829235508261,84.87553626435172
2.72,140.78468216185942,208.34346681601792,84.89057406888827
2.76,141.1206664799776,208.21565947913749,84.95091570988518
2.8,141.0933464015682,208.2036460375245,84.96983478017363
2.84,141.1432707924951,208.2176757210865,84.92431811817418
2.88,141.15743489218707,208.2202240268832,84.83371604592551
2.92,141.1073816858023,208.21809577149256,84.85094371324558
2.96,141.16226827219268,208.20890506860823,84.82539344721367
3.0,141.22366283954074,208.2363315597872,84.7292915149818
3.04,141.19243349201903,208.2097283674041,84.7680761691403
3.08,141.22553346401568,208.23269112293477,84.73254550546065
3.12,141.13272472696724,208.1422010641277,84.66362923550827
3.16,141.09563147577708,208.0958891066928,84.71647717726127
3.2,141.13374404928592,208.10148977877344,84.70243629235509
3.24,141.32475497059647,208.07520582469897,84.64507980957715
3.28,141.29825259031082,208.04379165499856,84.67420890506861
3.32,141.37407448893867,208.04812097451693,84.65376085130215
3.36,141.54332679921592,207.99058527023243,84.68467096051526
3.4,141.52620554466537,207.94385886306355,84.7355138616634
3.44,141.59561467376085,207.94539904788576,84.72905068608233
3.48,141.59676841220946,207.9530215625875,84.67573788854662
3.52,141.5622290674881,207.93371044525344,84.68971716605992
3.56,141.58895547465696,207.8306188742649,84.71220386446373
3.6,141.55199103892468,207.80814337720523,84.72793615233829
3.64,141.51905908709043,207.79807336880427,84.73772052646318
3.68,141.55280873704845,207.8017922150658,84.73168300196023
3.72,141.5950770092411,207.8069168300196,84.59691963035564
3.76,141.56360683281994,207.7939792775133,84.6074096891627
3.8,141.59723326799215,207.81171660599276,84.59181741809017
3.84,141.67664519742368,207.7740016802016,84.55232147857743
3.88,141.6529039484738,207.752360683282,84.57376085130215
3.92,141.68210025203024,207.75051806216743,84.57252870344442
3.96,141.76360683281993,207.73907028843465,84.54098011761411
4.0,141.74349481937833,207.7251918230188,84.55330159619155
4.04,141.8521310557267,207.7624082889947,84.5226043125175
4.08,141.75955754690565,207.64639036684403,84.44780733688043
4.12,141.74063287594512,207.6342313077569,84.45814057686923
4.16,141.76709605152618,207.6463623634836,84.44583590030804
4.2,141.9292915149818,207.67130775693084,84.26838980677681
4.24,141.83182861943433,207.6631811817418,84.28474376925232
4.28,141.88217866143938,207.67686922430693,84.26395407448894
4.32,142.0052646317558,207.6323438812657,84.23178941472976
4.36,141.97760291234948,207.61946233548025,84.25293195183421
4.4,142.0048053766452,207.6431307756931,84.2310557266872
4.44,142.0520974516942,207.6229571548586,84.18221226547186
4.48,142.033542425091,207.6022794735368,84.20681041725007
4.52,142.03248949873984,207.6014113693643,84.03066367964156
4.56,142.01298235788295,207.6018314197704,84.03546905628676
4.6,142.0132567908149,207.5775917110053,84.05286474376925
4.64,142.04341080929711,207.5828899467936,84.04285074208904
4.68,142.1409521142537,207.53290394847383,83.9858190982918
4.72,142.1254102492299,207.51196303556424,84.00346121534584
4.76,142.1956874824979,207.5315541865024,83.97058527023243
4.8,142.27559787174462,207.56270512461492,83.87388966676001
4.84,142.23851582189863,207.52925231027723,83.90599271912629
4.88,142.2500476057127,207.5458134976197,83.8808961075329
4.92,142.34380285634276,207.5292467096052,83.84376925231028
4.96,142.2989022682722,207.5012153458415,83.88743209185103
5.0,142.30644077289276,207.55565387846545,83.81525623074769
5.04,142.31438812657518,207.4207280873705,83.77232147857742
5.08,142.3012153458415,207.3962643517222,83.79507700924111
5.12,142.35266311957434,207.401943433212,83.77899747969757
5.16,142.53329039484737,207.312567908149,83.69527303276394
5.2,142.4763819658359,207.30063287594515,83.70139456734807
5.24,142.5962419490339,207.28851302156255,83.71364883786055
5.28,142.65065807896949,207.2271408569028,83.68920190422851
5.32,142.6026603192383,207.2225595071409,83.6909997199664
5.36,142.6351330159619,207.22259871184545,83.68238028563428
5.4,142.66590310837302,207.22632875945112,83.62184262111454
5.44,142.63847661719407,207.2119798375805,83.63527863343602
5.48,142.76681041725007,207.0498123774853,83.67657238868664
5.52,142.7828339400728,206.9893531223747,83.7512573508821
5.56,142.70641837020443,206.9887370484458,83.7463399607953
5.6,142.73485858302996,206.99371044525344,83.73424810977318
5.64,142.91905348641836,206.92050406048725,83.68967796135536
5.68,142.9239372724727,206.8866591991039,83.72999159899187
5.72,142.94134416129936,206.911318958275,83.70258190982918
5.76,143.0165891907029,206.8680145617474,83.64800336040325
5.8,142.99116213945675,206.84792495099413,83.66856342761132
5.84,143.0073816858023,206.86488378605432,83.64171380565668
5.88,142.99381125735087,206.92282833940072,83.53380565667881
5.92,142.98623914869785,206.8959787174461,83.55735648277793
5.96,142.9947969756371,206.95854942593112,83.48562307476897
6.0,142.9593671240549,206.81451694203304,83.46482777933352
6.04,142.93075329039485,206.8023970876505,83.4757154858583
6.08,142.95796695603474,206.8156370764492,83.46176981237748
6.12,143.16173060767292,206.78064967796132,83.38915149817979
6.16,143.1278129375525,206.75954634556143,83.41141977037245
6.2,143.1644581349762,206.7719294315318,83.39315597871745
6.24,143.32694483338,206.78348921870625,83.29805656678802
6.28,143.3033828059367,206.76042565107807,83.32581909829179
6.32,143.31905908709044,206.7747465695884,83.31254550546066
6.36,143.37366563987678,206.71839820778493,83.31250630075608
6.4,143.37743489218707,206.69921030523665,83.32953794455335
6.44,143.42666479977598,206.7250630075609,83.14626155138616
6.48,143.37312797535705,206.69637076449172,83.17315037804536
6.52,143.33745729487538,206.66872584710163,83.19988238588631
6.56,143.41952394287316,206.6648893867264,83.19461215345841
6.6,143.69464015681882,206.49071968636235,83.18505180621675
6.64,143.67129095491458,206.4633267992159,83.21303836460375
6.68,143.72007840940913,206.48046485578269,83.18590870904508
6.72,143.8334584150098,206.323752450294,83.17753010361244
6.76,143.80082889946794,206.30433492019043,83.19108933071969
6.8,143.82586390366845,206.3113301596192,83.1757434892187
6.84,143.85651078129376,206.22664799775973,83.15429851582189
6.88,143.84146737608512,206.21052926351163,83.16676001120135
6.92,143.8824362923551,206.24238028563428,83.13266311957435
6.96,143.78371884626156,205.98499579949595,83.19934472136656
7.0,143.7763259591151,205.96362363483615,83.21243909269113
7.04,143.80806496779613,205.97833660039203,83.19771492579109
7.08,143.99338560627274,205.88407168860263,83.15533464015682
7.12,143.9740912909549,205.85501540184825,83.17700924110893
7.16,144.01228227387287,205.87723326799212,83.16167460095211
7.2,144.0950490058807,205.84826099131897,83.10044805376646
7.24,144.06771772612714,205.835485858303,83.1128815457855
7.28,144.08013441612994,205.84414449733967,83.10273312797536
7.32,144.14958274993,205.9904788574629,82.89665079809578
7.36,144.09627555306636,205.91607952954357,82.98105852702324
7.4,144.2296947633716,205.7645253430412,82.94250910109213
7.44,144.1554578549426,205.7488658639037,82.96134416129935
7.48,144.1376869224307,205.7242789134696,82.98539904788575
7.52,144.17515541865023,205.73576029123493,82.97218706244749
7.56,144.33106692803136,205.63962475497055,82.90085130215625
7.6,144.30704004480538,205.6228955474657,82.91587230467655
7.64,144.34038084570147,205.63776533183983,82.89418090170821
7.68,144.4732847941753,205.54761691402967,82.87157098851863
7.72,144.4499859983198,205.540274432932,82.88035844301317
7.76,144.4491514981798,205.561528983478,82.8530271632596
7.8,144.55894147297676,205.5583702044245,82.79526743209185
7.84,144.4911173340801,205.54565667880144,82.802777933352
7.88,144.57941753010363,205.56761691402968,82.78002240268832
7.92,144.5590702884346,205.41863343601236,82.80208905068608
7.96,144.53242229067487,205.4002352282274,82.81641556986838
8.0,144.56035284234108,205.4135368244189,82.80183141977037
8.04,144.7388742649118,205.3117278073369,82.73376085130215
8.08,144.70493979277512,205.30085690282837,82.7413329599552
8.12,144.75806216746008,205.3059367124055,82.73237748529823
8.16,144.8608961075329,205.27029963595632,82.65595071408569
8.2,144.8405768692243,205.2536656398768,82.6759451134136
8.24,144.87453934472137,205.27487538504624,82.65277513301596
8.28,144.9371604592551,205.23815737888543,82.60747129655559
